x1;x2;x3;x4
-0.494962321;0.75290897;-0.001985299;0.25596135
-1.87761224;2.380389778;0.38230761;0.885085149
-1.727375186;2.633646225;-0.91133455;-0.005063511
0.681359612;2.6405857;0.571699754;3.893645066
-1.493834515;1.730661478;0.758272636;0.995099599
-0.732658923;1.22633949;-0.713079303;-0.219398736
0.850733391;2.232818253;0.243362296;3.32691394
-0.954683374;1.585806072;-0.976354086;-0.345231388
-0.133410381;2.739698663;-0.654468504;1.951819778
-1.817458234;2.376938707;0.708396339;1.267876812
-1.615511477;2.779393876;-0.022857214;1.141025185
-0.986741045;1.387711199;-0.281432034;0.119538119
-1.917786042;2.739545556;0.257089041;1.078848555
0.823690721;1.136727982;-0.263521464;1.696897239
-0.487741372;1.334199728;0.660898966;1.507357322
-0.109287127;1.609928641;0.261017919;1.761659433
-0.231585608;2.060261435;-0.979580869;0.849094958
0.05736212;2.663127062;0.968880076;3.689369258
0.014476063;2.966863888;-0.169629834;2.811710117
0.591210687;2.616201916;-0.809867268;2.397545336
0.462231065;1.952451371;0.183321774;2.598004211
0.794703586;1.637745631;0.107167608;2.539616825
0.062532985;1.49837732;0.907393517;2.468303822
-0.421574922;1.577948234;0.124201695;1.280575008
0.308471888;2.486422605;0.830439332;3.625333824
-1.178476877;1.323217317;0.45702747;0.601767911
-1.382177583;2.80531966;-0.687112938;0.736029139
-0.970036742;1.071317856;0.457507514;0.558788628
-0.943405432;2.187294026;0.930204034;2.174092628
-0.47599788;2.706344469;-0.26502866;1.965317928
-1.765814677;1.008759402;-0.345505749;-1.102561025
-0.988306739;1.859029528;0.559525344;1.430248134
-1.687957476;1.556194331;0.185665137;0.053901992
-0.296955592;1.856597086;0.699629877;2.259271371
-0.854175556;1.624020586;0.585347392;1.355192422
-1.372521114;2.958191444;-0.198795014;1.386875317
-0.91220688;1.637426359;0.310687961;1.03590744
-0.117462939;2.841831546;0.125480905;2.849849511
0.081095788;2.635526114;-0.285084041;2.431537861
0.534976371;2.763933161;0.845229111;4.144138643
-1.521579891;2.629068009;-0.338228805;0.769259313
-1.598994933;1.591300978;-0.010897481;-0.018591436
-1.440795785;1.356364453;0.638750797;0.554319465
-1.618569197;1.137223206;-0.102402293;-0.583748283
-1.192489342;1.064838626;-0.351130383;-0.4787811
-1.748290075;1.799657402;-0.678079905;-0.626712578
0.086405708;2.173768296;-0.338594446;1.921579558
-0.869051432;1.933308992;-0.455909153;0.608348407
-1.628049438;2.72765221;-0.817804174;0.281798598
-0.758902906;2.10660695;0.973154077;2.32085812
-1.275464197;2.604434416;0.420173576;1.749143795
-1.309463511;1.874650931;-0.376111952;0.189075469
-0.241245253;1.908567071;-0.195539536;1.471782282
-1.30589138;1.317171066;-0.830061629;-0.818781943
-0.816424012;1.144112497;0.190875177;0.518563661
0.831796085;2.605657516;-0.754714017;2.682739584
-1.182213336;1.063762143;0.025310681;-0.093140512
-0.192153623;2.954110701;0.935282661;3.697239739
-0.680777588;1.82804986;0.356136031;1.503408304
-1.4329104;1.541380207;0.170589524;0.279059331
-0.294811142;2.701129843;0.439114063;2.845432765
-0.494882723;2.40446437;-0.486587515;1.422994132
-1.000647132;1.046575931;-0.65855671;-0.612627911
-0.541643787;1.690851127;0.062720139;1.211927479
-1.637950037;2.004686873;-0.525639192;-0.158902357
-0.997252412;2.719001823;0.937602928;2.659352339
-0.805292425;1.573974136;0.822406148;1.591087859
-0.853123089;2.437671392;0.97323043;2.557778732
-0.392958823;2.497063371;0.185771872;2.28987642
-0.712619616;2.387424348;0.197870739;1.872675471
-1.586433976;1.162623423;-0.98192846;-1.405739014
0.563016349;1.907439141;0.551191073;3.021646563
-1.985760492;1.050885446;0.620336455;-0.314538591
-1.025223038;2.939440795;-0.768207032;1.146010725
-1.184233483;1.67408869;-0.431864019;0.057991188
0.926773384;2.525707946;0.497152705;3.949634035
-1.614016859;2.906733102;0.911283693;2.203999936
-1.762187186;1.00850911;-0.924036016;-1.677714091
0.045310736;1.472254679;0.680360701;2.197926115
-1.76698458;2.104228137;0.645778792;0.98302235
-1.635231592;1.871471186;-0.899853585;-0.66361399
-0.901821204;2.943051784;-0.216176419;1.825054161
-0.473663146;1.831635842;-0.988967441;0.369005255
-1.437087781;1.712790445;0.46095094;0.736653603
-1.204170465;2.161254294;0.664506279;1.621590108
-0.541387375;1.588972868;-0.440924876;0.606660617
-0.351127385;2.117762028;0.845233035;2.611867678
-1.266998935;1.18957922;0.318797417;0.241377703
-0.169061608;1.366671643;0.763040821;1.960650856
0.447854321;2.883210319;-0.734154923;2.596909717
-0.449841813;1.823906763;0.110757234;1.484822185
-1.904528019;2.555798405;-0.673373014;-0.022102627
-1.271853505;1.107278945;0.238073713;0.073499153
0.904521552;2.648136493;-0.65850493;2.894153115
-0.320235398;1.41496914;0.989630895;2.084364638
0.437233957;1.244676541;0.491135146;2.173045644
0.006537901;2.991122547;-0.506117829;2.491542619
0.755309315;2.039686131;-0.39827249;2.396722956
0.063608585;1.829257855;-0.043226303;1.849640138
-0.72780772;1.769614192;-0.963360958;0.078445514
-0.612841831;1.782274341;-0.094479041;1.074953469
-1.436775137;1.674037569;0.533554979;0.770817412
0.347243057;2.405960241;-0.465369643;2.287833655
-1.773386009;2.649248954;0.853851324;1.729714269
0.645717327;2.800277491;-0.632639172;2.813355646
-1.923904419;1.289636653;0.237915257;-0.396352509
0.703190897;2.760100424;-0.461060602;3.002230718
0.4008558;1.323731345;-0.97434779;0.750239355
-1.764873865;1.664122287;-0.832406337;-0.933157915
-0.203147567;1.951943947;0.143965506;1.892761887
-1.447335166;1.635925205;-0.27292499;-0.08433495
0.599279206;2.42547489;0.358293414;3.38304751
-0.920807223;2.2089536;0.273164686;1.561311062
-1.985074981;1.578701449;-0.403112551;-0.809486083
0.877742226;1.392563803;0.931697962;3.202003991
0.153897021;1.303864821;-0.025495753;1.432266089
0.469657391;1.910009076;-0.212125798;2.167540669
-0.234149019;1.627139631;0.669690943;2.062681556
-1.001023489;2.211762131;0.624662582;1.835401224
0.132018111;2.7676203;0.781046291;3.680684702
0.288857181;1.881249273;-0.677768795;1.492337659
0.166527291;2.745590812;-0.114763912;2.797354191
-1.935493821;1.002218813;-0.761333626;-1.694608634
0.484988327;2.045175104;-0.063518523;2.466644908
-1.130224878;2.281815113;0.189506114;1.341096349
-1.032196299;1.039581174;0.74587092;0.753255796
0.057518319;1.991333276;0.080252749;2.129104345
-0.975213791;2.846115711;0.152300072;2.023201992
-0.163439139;1.866375832;0.580246629;2.283183322
0.025388616;2.928079665;0.483429803;3.436898083
-1.58982386;1.768222618;-0.365556301;-0.187157542
0.126867721;2.082571038;-0.713231237;1.496207522
-1.445043722;1.366991147;-0.495613718;-0.573666293
-1.724759383;2.188992974;0.963387534;1.427621125
0.965132629;1.618652194;-0.139987925;2.443796897
-0.588997126;1.628849504;0.666406146;1.706258524
-1.144315749;1.340102779;-0.358206711;-0.16241968
-1.584174382;2.929658583;0.297209292;1.642693494
-1.208928861;2.72809968;0.402010406;1.921181225
0.425642095;2.078615072;-0.127474554;2.376782613
-1.97942764;2.011630505;0.448147428;0.480350292
-0.858881422;1.278038363;0.609278042;1.028434983
0.2525383;2.135627285;0.417770662;2.805936247
-0.499420003;2.88416386;0.966584142;3.351327999
-1.333619681;1.150864096;0.233071535;0.050315949
-0.970818732;1.51819916;0.672554145;1.219934573
0.451798717;2.828690126;-0.396177734;2.884311109
-1.224340786;2.325650944;-0.381624499;0.719685659
-0.728629472;1.308652426;-0.765214712;-0.185191758
0.13328378;2.65241213;0.410791015;3.196486925
0.023322751;2.381539217;0.511159837;2.916021806
0.767849668;2.864911398;-0.106352608;3.526408458
0.433951654;1.405447071;0.516332494;2.355731219
-1.234152823;1.108307299;-0.200455049;-0.326300572
-1.982991934;1.968482783;-0.126654541;-0.141163693
-1.169507583;2.264596605;0.979541802;2.074630824
-0.817206257;2.359945075;0.700545026;2.243283844
-0.294252504;2.924384906;-0.162333256;2.467799146
-0.882158181;1.66871602;0.062348521;0.848906359
-1.05187183;2.162504876;-0.023461075;1.087171971
0.271193846;2.241761264;0.499895923;3.012851033
-1.905424489;2.810177369;-0.086173843;0.818579037
0.30453227;1.753343756;0.649999769;2.707875795
-0.612589992;2.183531588;0.806391893;2.377333489
-1.08075026;1.351601397;0.686944971;0.957796108
0.310479778;2.667030715;0.137353914;3.114864407
0.463625438;1.309450357;0.754779723;2.527855518
-1.122071332;1.582488794;-0.071809846;0.388607616
0.360680765;1.080765279;0.281987735;1.723433779
0.320200758;1.269154952;-0.197401384;1.391954326
-1.278160695;2.39492595;0.667679389;1.784444644
-1.431303256;1.248917535;-0.880249407;-1.062635128
-1.459510697;1.078226329;-0.096452312;-0.477736681
0.069015592;2.070580814;-0.790744593;1.348851813
-0.105720025;2.703756735;-0.139102263;2.458934447
0.489040126;2.421193293;-0.334629561;2.575603858
0.495737877;2.715466982;-0.749632982;2.461571877
0.678839231;2.441622602;-0.833207832;2.287254002
-1.643618554;1.448487752;0.88838938;0.693258578
0.057217788;1.46818249;-0.76250027;0.762900008
-1.796158884;2.441958431;0.99062087;1.636420417
-1.936231214;1.187627985;0.729610928;-0.018992302
-1.310477628;2.293512519;0.027901106;1.010935997
-0.155716782;1.439640171;0.785723714;2.069647103
-1.300191745;2.261873649;-0.711616945;0.250064959
0.714640419;1.742552686;-0.951648641;1.505544464
-1.066691888;2.080127563;-0.455196135;0.55823954
-0.150570746;1.995417076;-0.177230268;1.667616062
0.81905965;1.161416585;0.839840779;2.820317015
-1.683598056;2.00065924;-0.523433383;-0.206372198
0.733840162;1.044819518;0.743480595;2.522140275
-1.018299604;2.05372066;0.858437635;1.893858691
0.675322346;1.986025368;0.633604367;3.29495208
0.786690382;2.738993314;-0.495551127;3.030132569
-1.415268215;2.273795395;-0.689473394;0.169053786
-1.613532651;2.924282826;0.095102547;1.405852723
-1.182939177;2.158363156;-0.34345422;0.63196976
0.220290347;2.064936665;0.048374756;2.333601768
-0.875545377;2.417303097;-0.533869529;1.007888191
-0.412023117;2.831225097;-0.49755452;1.92164746
-1.985760492;0.75290897;-0.988967441;-1.694608634
0.965132629;2.991122547;0.99062087;4.144138643
