x1;x2;x3
-0.503107396;-0.335529322;-0.838636718
0.83643634;0.557831032;1.394267372
-1.130645134;-0.754042971;-1.884688105
-1.440325172;-0.960572896;-2.400898068
-0.30050226;-0.200409138;-0.500911399
-1.29625401;-0.864489834;-2.160743844
-0.395759803;-0.263937719;-0.659697522
0.223262507;0.148896872;0.37215938
-1.266410831;-0.844587003;-2.110997834
-1.494840317;-0.996929805;-2.491770122
-0.502960781;-0.335431542;-0.838392323
-0.280867276;-0.187314294;-0.468181571
0.404347589;0.269665033;0.674012622
-0.715529666;-0.477196689;-1.192726356
0.476774931;0.317967835;0.794742765
0.63374971;0.422656499;1.056406209
-1.967406684;-1.31209089;-3.279497575
-0.250487614;-0.167053675;-0.417541288
-0.619625898;-0.413237132;-1.03286303
-0.631292388;-0.421017677;-1.052310065
0.240274031;0.160242094;0.400516124
-1.765475625;-1.177420257;-2.942895882
-0.281182937;-0.187524813;-0.468707751
0.697504454;0.465175424;1.162679878
0.620912625;0.414095268;1.035007893
0.62387443;0.416070537;1.039944967
0.197904137;0.131985022;0.329889159
-0.936927993;-0.624850314;-1.561778306
-1.015435337;-0.677207954;-1.692643291
0.840794205;0.560737353;1.401531559
0.003226369;0.00215171;0.005378079
-0.116686934;-0.07782014;-0.194507074
-1.424966845;-0.950330214;-2.375297059
0.600697704;0.400613656;1.00131136
0.790075518;0.526912355;1.316987873
-0.393142832;-0.262192425;-0.655335257
-0.594060797;-0.396187411;-0.990248208
-0.900043619;-0.600251612;-1.500295231
-0.275963084;-0.18404362;-0.460006704
-1.468526065;-0.979380464;-2.447906529
-1.692413401;-1.128694044;-2.821107445
-0.04740427;-0.031614567;-0.079018837
0.767047612;0.511554724;1.278602337
-1.456527773;-0.971378637;-2.42790641
-1.406312271;-0.93788922;-2.344201491
0.03137638;0.020925344;0.052301724
-1.628420131;-1.086016041;-2.714436172
-1.13863855;-0.759373891;-1.898012441
-0.946407868;-0.631172575;-1.577580443
-0.3264734;-0.217729652;-0.544203052
-0.350554346;-0.23378957;-0.584343916
-1.974306056;-1.316692178;-3.290998234
-1.176626928;-0.784708869;-1.961335797
0.069013457;0.046026035;0.115039492
-0.730030494;-0.486867494;-1.216897988
-1.707172247;-1.138536923;-2.84570917
0.497202208;0.33159107;0.828793279
-1.836303982;-1.224656674;-3.060960655
0.782606155;0.521930933;1.304537088
-0.470242596;-0.31361133;-0.783853926
0.830299795;0.553738485;1.38403828
-1.661005193;-1.107747473;-2.768752665
0.995416402;0.663857047;1.659273449
-1.777543085;-1.185468214;-2.963011299
-0.767382535;-0.511778089;-1.279160625
-0.427106297;-0.284843132;-0.711949428
-0.830972382;-0.554187043;-1.385159425
-0.389622734;-0.259844822;-0.649467556
-0.534021969;-0.356146681;-0.89016865
-1.330134622;-0.887085286;-2.217219908
0.045294852;0.030207767;0.075502619
-0.899065134;-0.599599046;-1.49866418
0.628127534;0.418906991;1.047034525
0.613228906;0.40897089;1.022199796
-1.87834694;-1.252695708;-3.131042648
-0.854068238;-0.56958999;-1.423658228
-1.303663522;-0.869431341;-2.173094863
0.349717546;0.233231497;0.582949043
-0.682418715;-0.455114536;-1.137533251
0.007105574;0.004738806;0.011844381
-1.097081681;-0.731659037;-1.828740718
-0.983003424;-0.65557866;-1.638582083
0.330899936;0.220681771;0.551581707
0.279804416;0.186605458;0.466409874
-0.439827489;-0.293327072;-0.733154561
-0.275463581;-0.183710495;-0.459174076
0.642581183;0.428546332;1.071127515
-1.818947371;-1.213081309;-3.03202868
0.468556424;0.312486798;0.781043223
0.445941944;0.297404887;0.743346831
-1.235352206;-0.823873574;-2.05922578
-0.810039843;-0.540226841;-1.350266684
0.425895278;0.284035486;0.709930764
-1.245872755;-0.830889874;-2.076762629
-1.584452691;-1.056693544;-2.641146235
-0.304309855;-0.202948476;-0.507258331
-1.428975043;-0.953003337;-2.38197838
0.64673698;0.43131789;1.07805487
-0.550424577;-0.367085809;-0.917510386
-0.794184811;-0.5296529;-1.32383771
-0.736764859;-0.491358735;-1.228123594
0.123592484;0.082425547;0.206018031
-1.088064445;-0.725645316;-1.813709761
-1.810986967;-1.207772404;-3.018759371
0.690313018;0.460379356;1.150692374
-0.957773235;-0.638752296;-1.596525531
-0.336524165;-0.224432648;-0.560956813
0.482466264;0.321763464;0.804229728
-1.576014316;-1.051065875;-2.627080191
0.362478175;0.241741738;0.604219913
0.464567519;0.309826542;0.774394061
-1.595942522;-1.064356272;-2.660298794
0.665860349;0.444071531;1.109931879
0.149243688;0.099532692;0.248776381
-0.211709549;-0.141192044;-0.352901593
-0.450919003;-0.300724157;-0.751643159
-1.739365602;-1.16000712;-2.899372721
0.32922053;0.219561752;0.548782281
-1.352162145;-0.901775747;-2.253937892
-1.977225133;-1.31863895;-3.295864083
-1.865776804;-1.244312509;-3.110089314
0.630199402;0.420288749;1.050488152
-0.797726676;-0.532015019;-1.329741695
-1.556137598;-1.037809814;-2.593947412
-0.640289856;-0.427018214;-1.06730807
-0.740938145;-0.494141957;-1.235080102
0.886807704;0.591424396;1.478232099
0.002430335;0.001620824;0.004051159
0.013074128;0.008719318;0.021793446
-0.847984872;-0.565532909;-1.413517781
-1.114342455;-0.743170487;-1.857512942
-0.612318814;-0.408363936;-1.02068275
-1.716617179;-1.14483588;-2.86145306
-1.630071989;-1.087117689;-2.717189678
-0.817744571;-0.545365231;-1.363109802
-0.800743798;-0.53402718;-1.334770978
-1.582613891;-1.055467223;-2.638081115
-0.344925525;-0.230035631;-0.574961156
-1.401472277;-0.93466136;-2.336133637
-0.779324025;-0.519742035;-1.29906606
-1.658584842;-1.106133307;-2.764718149
-0.913738613;-0.609384994;-1.523123607
-1.810059737;-1.207154022;-3.017213759
0.58723632;0.391636072;0.978872392
0.158346196;0.105603281;0.263949477
-0.861430232;-0.574499807;-1.435930038
0.650792463;0.434022548;1.084815011
-1.904009794;-1.269810622;-3.173820417
-0.198598117;-0.132447847;-0.331045964
0.143755901;0.09587281;0.239628711
-0.587078794;-0.391531016;-0.97860981
-1.763528651;-1.176121793;-2.939650445
-0.077652231;-0.051787353;-0.129439585
-1.407021666;-0.938362325;-2.345383991
-1.759562469;-1.173476691;-2.933039161
-0.378486613;-0.252417988;-0.630904602
-1.684598026;-1.123481861;-2.808079887
-1.433768285;-0.956200017;-2.389968302
0.921479873;0.614547748;1.536027622
-1.519050321;-1.013075794;-2.532126114
