x_1;x_2;x_3;x_4;q;Y
2.019408582;1.415724005;3.379605721;1.553684577;0.673126472;7.864522623
3.375658748;2.048640749;4.283772498;2.277017999;0.922646001;11.23006705
-0.365167102;0.302922019;1.789888599;0.281910879;0.361268742;2.675025749
1.236419417;1.050329061;2.857612945;1.136090356;0.754261543;6.563142366
0.187199805;0.560693242;2.158133203;0.576506563;0.233845538;3.431268207
1.100554595;0.986925477;2.767036396;1.063629117;0.958882324;7.144012696
-0.52155623;0.229940426;1.68562918;0.198503344;0.610234965;2.884844645
2.339535951;1.565116777;3.593023967;1.724419174;0.407525192;7.928915944
1.593168809;1.216812111;3.095445872;1.326356698;0.198585358;6.015627186
0.22927297;0.580327386;2.18618198;0.598945584;0.02488885;2.522985005
1.81722219;1.321370355;3.244814793;1.445851835;0.273392533;6.638102626
0.889669505;0.888512436;2.626446337;0.951157069;0.492265699;5.336125937
0.981957163;0.931580009;2.687971442;1.000377154;0.913911412;6.61979148
3.629203813;2.166961779;4.452802542;2.412242034;0.338703286;10.24221152
-2.893308553;-0.876877325;0.104460965;-1.066431228;0.215592486;-2.490974066
2.204934708;1.502302864;3.503289805;1.652631844;0.887406731;8.829690175
1.106112819;0.989519316;2.77074188;1.066593504;0.862073791;6.636068882
1.723183012;1.277485405;3.182122008;1.395697606;0.988155959;8.750589648
-2.840312077;-0.852145636;0.139791948;-1.038166441;0.343244531;-2.083094414
0.98315366;0.932138375;2.688769106;1.001015285;0.73374331;6.02921877
-0.633898977;0.177513811;1.610734015;0.138587212;0.8131031;3.158210861
0.885295034;0.886471016;2.623530023;0.948824018;0.1176573;4.393872251
-0.474067429;0.252101866;1.717288381;0.223830704;0.167082866;1.978839075
0.960049224;0.921356304;2.673366149;0.988692919;0.690430062;5.883482974
0.708459092;0.803947576;2.505639395;0.854511516;0.007049103;3.042327593
3.049072049;1.896233623;4.066048032;2.102838426;0.078909133;8.338939444
0.303296707;0.614871797;2.235531138;0.638424911;0.548672885;4.331466331
2.764697805;1.763525642;3.876465203;1.951172163;0.87790171;9.858339595
1.161714607;1.015466816;2.807809738;1.09624779;0.231836877;5.284087106
-1.167443342;-0.071473559;1.255037772;-0.145969782;0.812735393;2.139825186
0.323780788;0.624431034;2.249187192;0.649349753;0.707236203;4.708938182
-0.729364665;0.132963156;1.547090224;0.087672179;0.529750749;2.3243927
-0.006699911;0.470206708;2.028866726;0.473093381;0.25081647;3.105020717
1.336353327;1.096964886;2.924235551;1.189388441;0.228384698;5.607972072
2.345139497;1.567731765;3.596759665;1.727407732;0.360046256;7.840064516
-1.544960238;-0.247648111;1.003359842;-0.347312127;0.363435516;0.430176536
-1.535657703;-0.243306928;1.009561531;-0.342350775;0.005647357;-1.299410841
-0.973794816;0.018895753;1.384136789;-0.042690568;0.4062515;1.608872624
-1.388073374;-0.174434241;1.107951084;-0.263639133;0.992911978;2.970957114
-0.022896045;0.462648512;2.018069303;0.464455442;0.319665422;3.23677053
0.518187011;0.715153939;2.378791341;0.753033073;0.789751605;5.287790968
2.728362924;1.746569365;3.852241949;1.93179356;0.606791593;9.074185158
-0.854759924;0.074445369;1.463493384;0.020794707;0.890081563;3.007160677
1.369208524;1.112297311;2.946139016;1.206911213;0.305192794;5.85833908
0.007238617;0.476711355;2.038159078;0.480527263;0.135570281;2.788783155
2.605694388;1.689324048;3.770462925;1.86637034;0.054761272;7.34324968
2.387238855;1.587378132;3.624825903;1.749860722;0.125565312;7.288916065
0.584629491;0.746160429;2.423086327;0.788469062;0.652092499;5.082807668
3.300751152;2.013683871;4.233834102;2.237067281;0.51631154;9.981484224
0.704360261;0.802034789;2.502906841;0.852325473;0.522282982;5.043020946
0.495899102;0.704752914;2.363932735;0.741146188;0.152390067;3.779858444
1.826965303;1.325917141;3.251310202;1.451048161;0.855406477;7.986672539
1.981123065;1.39785743;3.354082044;1.533265635;0.448191068;7.328488294
0.817141536;0.85466605;2.578094358;0.912475486;0.827765545;5.96964759
-1.029970324;-0.007319485;1.346686451;-0.07265084;0.334510918;1.349530555
0.856878136;0.873209797;2.604585424;0.933668339;0.223541185;4.680883801
2.394383479;1.59071229;3.629588986;1.753671189;0.43740344;8.094579905
0.74400792;0.820537029;2.529338613;0.873470891;0.161165333;4.282164617
1.672019891;1.253609283;3.148013261;1.368410609;0.101672071;5.825652676
0.251252667;0.590584578;2.200835111;0.610668089;0.505924641;4.146269553
0.689907487;0.795290161;2.493271658;0.844617327;0.222023335;4.358454787
3.843042551;2.266753191;4.595361701;2.526289361;0.751846027;11.52698278
5.367150566;2.978003597;5.61143371;3.339146968;0.392837036;13.67115457
1.21936469;1.042370189;2.846243127;1.126994501;0.73211712;6.475638238
2.430666367;1.607644305;3.653777578;1.773022063;0.049649112;6.97119156
3.806089157;2.249508273;4.570726105;2.506580884;0.079041997;9.783040706
1.42398227;1.137858393;2.982654847;1.236123877;0.235458843;5.793603485
-0.443618299;0.26631146;1.7375878;0.24007024;0.635859629;3.087431857
1.77073951;1.299678438;3.21382634;1.421061072;0.189967647;6.329130914
1.555876492;1.19940903;3.070584328;1.306467463;0.871387824;7.528251941
-1.178773434;-0.076760936;1.247484377;-0.152012498;0.670706578;1.761297379
3.339125583;2.031591939;4.259417056;2.257533644;0.84573307;10.83657539
1.466849893;1.157863283;3.011233262;1.25898661;0.063098252;5.22870784
1.168946283;1.018841599;2.812630855;1.100104684;0.001453895;3.502267073
-1.646708408;-0.29513059;0.935527728;-0.401577818;0.011328829;-1.30771732
1.204152003;1.035270935;2.836101335;1.118881068;0.916357944;7.056036414
-0.872183712;0.066314268;1.451877525;0.01150202;0.992487275;3.937781753
1.917736814;1.36827718;3.311824542;1.499459634;0.337523456;6.976432947
-0.569101239;0.207752755;1.653932507;0.173146006;0.6387081;2.854253155
0.465604739;0.690615545;2.343736493;0.724989194;0.687319143;4.933698861
2.232109462;1.514984416;3.521406308;1.667125046;0.07437792;6.75607
0.762408293;0.82912387;2.541605529;0.883284423;0.32096786;4.736996575
1.934456637;1.376079764;3.322971091;1.508376873;0.06081124;6.105297929
1.102921547;0.988030055;2.768614364;1.064891492;0.963606152;7.193564777
1.424389663;1.13804851;2.982926442;1.236341154;0.813109098;7.082699068
-0.580365286;0.2024962;1.646423143;0.167138514;0.614457172;2.781534273
-0.75284721;0.122004635;1.531435193;0.075148154;0.601083361;2.424826453
1.175859215;1.022067634;2.817239477;1.103791581;0.452725065;5.802281385
3.492122789;2.102990635;4.361415193;2.339132154;0.855713903;11.16265469
0.839955023;0.865312344;2.593303348;0.924642679;0.270726096;4.768352801
0.341131399;0.632527986;2.260754266;0.658603413;0.431188619;4.167078131
5.132265243;2.868390447;5.454843495;3.213874796;0.143603004;12.5894357
1.433664353;1.142376698;2.989109569;1.241287655;0.035127283;4.940640662
-0.236315917;0.363052572;1.875789389;0.350631511;0.811369016;3.911119604
1.870557021;1.346259943;3.280371347;1.474297078;0.970602543;8.733641068
3.495878076;2.104743102;4.363918717;2.341134974;0.808895053;11.01987292
2.677357788;1.722766968;3.818238526;1.90459082;0.515133303;8.790516316
-0.989333458;0.011644386;1.373777695;-0.050977844;0.121180131;0.833718085
0.597253025;0.752051412;2.431502017;0.795201613;0.341642478;4.46770806
1.763044838;1.296087591;3.208696559;1.416957247;0.385323144;6.783648457
3.514596547;2.113478389;4.376397698;2.351118158;0.162826767;9.570172338
0.128898558;0.533485994;2.119265705;0.545412564;0.351375177;3.595811582
-0.202347075;0.378904698;1.898435283;0.368748227;0.11411218;2.305568547
1.754367919;1.292038362;3.202911946;1.412329557;0.315946782;6.617077487
1.993772949;1.403760709;3.362515299;1.540012239;0.12313278;6.529219527
0.533116513;0.72212104;2.388744342;0.760995474;0.971097291;6.189545345
0.136209212;0.536897632;2.124139475;0.54931158;0.193916568;3.224195977
-0.696732262;0.148191611;1.568845158;0.105076127;0.119838392;1.38626111
0.290486497;0.608893699;2.226990998;0.631592798;0.394499645;3.995106002
1.631220333;1.234569489;3.120813555;1.346650844;0.849550676;7.593133324
2.676046909;1.722155224;3.817364606;1.903891685;0.645732312;9.056721852
-1.156995605;-0.066597949;1.26200293;-0.140397656;0.800480862;2.124000438
1.943666822;1.38037785;3.329111214;1.513288971;0.812189676;8.070053441
-1.682293299;-0.311736873;0.911804468;-0.420556426;0.980995299;2.107563448
3.474420209;2.094729431;4.349613473;2.329690778;0.38251267;10.04078396
1.076130292;0.975527469;2.750753528;1.050602822;0.522654092;5.752607842
0.887912464;0.887692483;2.625274976;0.950219981;0.292608253;4.911661655
0.684963407;0.792982923;2.489975605;0.841980484;0.349640358;4.652296944
1.681655973;1.258106121;3.154437316;1.373549853;0.966388586;8.325835792
0.489975286;0.701988467;2.359983524;0.737986819;0.028026235;3.061050894
2.434124149;1.609257936;3.656082766;1.774866213;0.941767439;9.552224767
0.216703069;0.574461432;2.177802046;0.592241637;0.968016028;5.550436422
-0.912004999;0.047731;1.42533;-0.009736;0.920005051;3.040528229
0.716943626;0.807907026;2.511295751;0.859036601;0.727488834;5.506494489
3.294122777;2.010590629;4.229415185;2.233532148;0.377549536;9.68658906
-1.060113024;-0.021386078;1.326591317;-0.088726946;0.118491018;0.688000067
0.363738622;0.643078023;2.275825748;0.670660598;0.866604449;5.237247756
-1.002103056;0.005685241;1.365264629;-0.057788296;0.592798841;1.932457314
0.873782601;0.881098547;2.615855067;0.942684054;0.573580309;5.469742941
1.546923713;1.195231066;3.064615808;1.301692647;0.557860386;6.72123859
0.175504163;0.555235276;2.150336108;0.570268887;0.364416948;3.712619569
-2.013838122;-0.46645779;0.690774585;-0.597380332;0.602864257;0.024229648
-0.60726737;0.189941894;1.62848842;0.152790736;0.029493214;0.986841297
1.888039119;1.354418255;3.292026079;1.483620863;0.10792365;6.265077677
0.544382749;0.727378616;2.396255166;0.767004133;0.788221342;5.333501722
4.828249056;2.726516226;5.252166037;3.05173283;0.692509618;13.2635761
0.515446076;0.713874835;2.376964051;0.75157124;0.890994697;5.623585442
1.769903579;1.299288337;3.213269053;1.420615242;0.395221272;6.8173607
1.647746781;1.242281831;3.131831187;1.35546495;0.471056123;6.73894495
1.536333042;1.190288753;3.057555361;1.296044289;0.1125526;5.614156813
2.774389224;1.768048305;3.882926149;1.956340919;0.59804169;9.143793978
-1.395322894;-0.177817351;1.10311807;-0.267505544;0.339766343;0.664436957
0.835435185;0.863203087;2.590290124;0.922232099;0.593549577;5.437578091
-0.091563209;0.430603836;1.972291194;0.427832955;0.759804327;4.045291433
0.374659419;0.648174395;2.283106279;0.676485023;0.844045828;5.178664643
2.505567664;1.642598243;3.703711776;1.812969421;0.057829025;7.174005688
0.765309184;0.830477619;2.543539456;0.884831565;0.735529187;5.618220813
-0.253343771;0.35510624;1.864437486;0.341549989;0.598184917;3.371212617
1.877216643;1.349367767;3.284811096;1.477848876;0.27151022;6.747958242
0.044323252;0.494017517;2.062882168;0.500305734;0.847796991;4.561467545
-0.252154113;0.355661414;1.865230591;0.342184473;0.993474005;5.160437559
0.939142955;0.911600046;2.659428637;0.977542909;0.886931246;6.414260733
-1.176008997;-0.075470865;1.249327336;-0.150538132;0.972819265;2.952232226
-1.375957581;-0.168780205;1.116028279;-0.257177377;0.930313128;2.214342613
1.765111886;1.297052213;3.21007459;1.418059672;0.480948675;6.982595124
3.495081478;2.104371356;4.363387652;2.340710122;0.384944185;10.08527195
